id,supabase_user_id,user_id,badge_number,name,rank,station,district,designation,phone,email,status,image_url,dataset_provenance,source_import_job_id,source_file,source_row_ref
8ceee794-99c8-5849-affd-e7d213e97f13,,,TN-OFFICER-000001,Tamil Nadu Officer OFFICER-000001,Inspector,THIRUVALLUR Station,THIRUVALLUR,Sub-Inspector,,,retired,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000001
7f9b70bb-7443-54fb-b2af-5a3803d8f4fc,,,TN-OFFICER-000002,Tamil Nadu Officer OFFICER-000002,Inspector,TIRUNELVELI Station,TIRUNELVELI,Station House Officer,,,transferred,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000002
3ccb787c-2a90-5c11-984e-0353010cc611,,,TN-OFFICER-000003,Tamil Nadu Officer OFFICER-000003,Sub-Inspector,MADURAI Station,MADURAI,Police Officer,,,retired,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000003
f3d1c80c-d5dd-5274-b0b9-1e25d9b670b7,,,TN-OFFICER-000004,Tamil Nadu Officer OFFICER-000004,Assistant Superintendent,TIRUVANNAMALAI Station,TIRUVANNAMALAI,Investigator,,,suspended,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000004
ed9a03b2-e4fa-5a36-aa6e-72fd625252cf,,,TN-OFFICER-000005,Tamil Nadu Officer OFFICER-000005,Deputy Superintendent,KALLAKURICHI Station,KALLAKURICHI,Sub-Inspector,,,transferred,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000005
771d2ab2-ca97-5a2b-9d51-62fdd9375997,,,TN-OFFICER-000006,Tamil Nadu Officer OFFICER-000006,Assistant Superintendent,KANCHEEPURAM Station,KANCHEEPURAM,Investigator,,,retired,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000006
2e0cae76-e174-58bf-8333-c68191eaf707,,,TN-OFFICER-000007,Tamil Nadu Officer OFFICER-000007,Sub-Inspector,VILUPPURAM Station,VILUPPURAM,Circle Inspector,,,transferred,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000007
24222640-5402-5f16-a67f-4fe2cf61187c,,,TN-OFFICER-000008,Tamil Nadu Officer OFFICER-000008,Constable,DHARMAPURI Station,DHARMAPURI,Police Officer,,,active,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000008
63aeb6b4-2763-5dcc-a112-6de787554600,,,TN-OFFICER-000009,Tamil Nadu Officer OFFICER-000009,Constable,RAMANATHAPURAM Station,RAMANATHAPURAM,Police Officer,,,retired,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000009
14dd93ff-3e9b-50f6-84c5-2c4584a4aac2,,,TN-OFFICER-000010,Tamil Nadu Officer OFFICER-000010,Sub-Inspector,CHENGALPATTU Station,CHENGALPATTU,Circle Inspector,,,transferred,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000010
9c18ffdc-08c0-5281-9936-b430e7402506,,,TN-OFFICER-000011,Tamil Nadu Officer OFFICER-000011,Superintendent,NAGAPATTINAM Station,NAGAPATTINAM,Station House Officer,,,retired,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000011
f8ecf275-9279-5554-aaa7-29637d570bc0,,,TN-OFFICER-000012,Tamil Nadu Officer OFFICER-000012,Assistant Superintendent,MAYILADUTHURAI Station,MAYILADUTHURAI,Police Officer,,,transferred,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000012
82764128-d9bd-5a55-8d0d-e252fa43381c,,,TN-OFFICER-000013,Tamil Nadu Officer OFFICER-000013,Inspector,TIRUPATHUR Station,TIRUPATHUR,Station House Officer,,,transferred,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000013
3fc2a647-89e4-51cc-9bbb-fc1ebb80fc0d,,,TN-OFFICER-000014,Tamil Nadu Officer OFFICER-000014,Deputy Superintendent,ERODE Station,ERODE,Sub-Inspector,,,transferred,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000014
4b81bb68-263d-5620-a8cf-445c899a8983,,,TN-OFFICER-000015,Tamil Nadu Officer OFFICER-000015,Inspector,DINDIGUL Station,DINDIGUL,Station House Officer,,,transferred,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000015
696e6484-b20f-5f13-a197-e5cf60eb22d6,,,TN-OFFICER-000016,Tamil Nadu Officer OFFICER-000016,Assistant Superintendent,KALLAKURICHI Station,KALLAKURICHI,Station House Officer,,,suspended,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000016
52f06046-f437-5adb-a8cd-59f75383ece0,,,TN-OFFICER-000017,Tamil Nadu Officer OFFICER-000017,Deputy Superintendent,KANYAKUMARI Station,KANYAKUMARI,Sub-Inspector,,,active,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000017
