full_name,aliases,date_of_birth,gender,address,identifying_marks,mo_summary,status,gang_affiliation,neo4j_node_id,image_url,dataset_provenance,source_import_job_id,source_file,source_row_ref,id,created_at,updated_at
Ramu Swamy,Kodaikanal Ramu,1982-04-12,Male,,Scar near left eyebrow,Night residential lock-break burglaries using scooter reconnaissance,at_large,,,,demo,,,,018a82be-ef30-4d91-95f1-128f8857e132,2026-08-29 12:45:07,2026-08-29 12:45:07
Shiva Prasad M,Shiva M,1980-07-18,Male,,"Muscular, tribal tattoo",Counterfeit goods manufacturing,arrested,,,,demo,,,,0997c34d-ad5a-498f-8847-55e7a86de24f,2026-08-29 12:45:07,2026-08-29 12:45:07
Venkatesh Kulkarni,Venky,1980-02-18,Male,,"Mustache, broad forehead",Contract killing intermediary,at_large,,,,demo,,,,0aa539c1-99df-4ac9-b414-a06aabbdf912,2026-08-29 12:45:07,2026-08-29 12:45:07
Imran Khan Pathan,Imran,1986-12-01,Male,,"Beard, muscular build",Interstate drug mule coordinator,at_large,,,,demo,,,,0dbb13ad-970f-4a79-aba7-71fc48efe02b,2026-08-29 12:45:07,2026-08-29 12:45:07
Rahul Deshpande,Rahul D,1995-02-14,Male,,"Slim, ponytail",Dark web drug marketplace admin,at_large,,,,demo,,,,148a2f90-d1d0-44d7-a20a-165816eef71c,2026-08-29 12:45:07,2026-08-29 12:45:07
Karthik Gowda,Gowda,1988-08-03,Male,,Thick moustache,Forgery and property document intimidation,arrested,,,,demo,,,,19a6a814-a49e-4d85-aa21-a2e8b5709d94,2026-08-29 12:45:07,2026-08-29 12:45:07
Vijay Kumar S,Vijay S,1990-09-16,Male,,"Clean shaven, athletic",Bike theft ring operator,at_large,,,,demo,,,,19de0621-c7d0-402a-a09d-3b1db38aecf4,2026-08-29 12:45:07,2026-08-29 12:45:07
Tariq Hussain,Tariq,1992-06-02,Male,,"Lean, sharp features",Illegal mineral transport,at_large,,,,demo,,,,1aa9f6f7-0876-46bd-9158-b0632c1ab32e,2026-08-29 12:45:07,2026-08-29 12:45:07
Kiran Bhat,Kiran,1980-04-16,Male,,"Portly, gold ring",Timber transport forgery,arrested,,,,demo,,,,23d17823-29fc-40a3-b71a-c40a91481987,2026-08-29 12:45:07,2026-08-29 12:45:07
Prasad Shenoy,Prasad,1979-06-15,Male,,"Deep voice, tall build",Cyber fraud via fake banking portals,under_trial,,,,demo,,,,2523d823-0618-40c2-b622-d6faf7f16347,2026-08-29 12:45:07,2026-08-29 12:45:07
Deepak Sharma,Deepu,1993-07-25,Male,,"Glasses, left ear piercing",Online investment scam operator,convicted,,,,demo,,,,25ab8b3f-49ca-4dd7-8af6-581e2e31e739,2026-08-29 12:45:07,2026-08-29 12:45:07
Nasir Shaikh,Nasir,1989-08-14,Male,,"Short, heavy build",Fish export smuggling,at_large,,,,demo,,,,2616b6ed-9bed-4104-b508-4934d0fd4c88,2026-08-29 12:45:07,2026-08-29 12:45:07
Javed Sheikh,Javed,1991-05-19,Male,,"Tattoo chest, lean build",Illegal mining transport driver,under_trial,,,,demo,,,,2c56a6a3-cd13-4703-b572-f392128db1a2,2026-08-29 12:45:07,2026-08-29 12:45:07
Hafeez Rehman,Hafeez,1983-12-30,Male,,"Tall, broad build",Smuggled gold transport,at_large,,,,demo,,,,31a38468-2fa2-4b4b-83b5-d3f1011b9d89,2026-08-29 12:45:07,2026-08-29 12:45:07
Vikram Yadav,Vicky,1990-11-07,Male,,"Spectacles, gold ring",Money mule coordinator for app-based cyber extortion,at_large,,,,demo,,,,410bec90-8114-4c19-905e-a5b77972ef47,2026-08-29 12:45:07,2026-08-29 12:45:07
Zaheer Ahmed,Zaheer,1982-11-19,Male,,"Beard, lean build",Drug courier network coordinator,at_large,,,,demo,,,,412d51c1-3427-42c0-908e-c804031cf0f6,2026-08-29 12:45:07,2026-08-29 12:45:07
Farhan Ahmed,Farhan,1991-08-22,Male,,"Sharp features, short hair",Cryptocurrency money laundering,under_trial,,,,demo,,,,4225fe2b-47a4-4e83-8203-571a0c8e1a68,2026-08-29 12:45:07,2026-08-29 12:45:07
Yusuf Ali Khan,Yusuf,1989-04-07,Male,,"Tattoo forearm, athletic build",Smuggled electronics distribution,acquitted,,,,demo,,,,4b9a1bd0-3232-4345-846f-d504197f8732,2026-08-29 12:45:07,2026-08-29 12:45:07
Ravi Shankar Bhat,Ravi Bhat,1981-09-08,Male,,"Gold chain, receding hairline",Cash-in-transit robbery planning,arrested,,,,demo,,,,4ea921f4-e436-47ef-b9fc-08d469138a6d,2026-08-29 12:45:07,2026-08-29 12:45:07
Vinayak Kulkarni,Vinayak K,1984-01-25,Male,,"Tall, spectacles",Cheque forgery operations,on_bail,,,,demo,,,,5161e6b2-e2c1-4b25-aea0-49c2674359ef,2026-08-29 12:45:07,2026-08-29 12:45:07
Suresh Babu,Suresh Anna,1975-01-30,Male,,Greying temples,Land grab intimidation syndicate,on_bail,,,,demo,,,,548087de-3a62-4bae-a367-ad39b7ac41d0,2026-08-29 12:45:07,2026-08-29 12:45:07
Mahesh Jain,Mahesh,1976-03-05,Male,,"Portly, thick glasses",Property fraud and forged deeds,arrested,,,,demo,,,,58239812-e3cc-4698-a09e-f1704f75854a,2026-08-29 12:45:07,2026-08-29 12:45:07
Nagendra Prasad,Nagendra,1977-06-22,Male,,"Bald, strong jaw",Extortion via threat calls,under_trial,,,,demo,,,,60e3f69c-d5de-4ac7-8ef1-2d320fe749da,2026-08-29 12:45:07,2026-08-29 12:45:07
Ganesh Haldipur,Ganesh,1984-05-09,Male,,"Round face, dimple",Illegal transport route management,on_bail,,,,demo,,,,64b8434d-dd78-4775-9224-b4d1cdc73732,2026-08-29 12:45:07,2026-08-29 12:45:07
Mohsin Pasha,Pasha,1987-01-19,Male,,Burn mark on forearm,Illegal mineral transport and forged transit slips,at_large,,,,demo,,,,65ffec8e-40a4-4720-99be-dc3cfc926e4d,2026-08-29 12:45:07,2026-08-29 12:45:07
Zubair Sheikh,Zubair,1981-09-03,Male,,"Beard, glasses",Interstate sand mining syndicate,at_large,,,,demo,,,,714dba62-7666-4852-a5b0-60c7209e4c71,2026-08-29 12:45:07,2026-08-29 12:45:07
Mohammed Ali,Mohd Ali,1989-01-27,Male,,"Sharp nose, thin build",Gold chain snatching gang leader,at_large,,,,demo,,,,72b203cc-1aef-4aa5-afa5-98830c486d26,2026-08-29 12:45:07,2026-08-29 12:45:07
Ashok Kamble,Ashok,1994-01-12,Male,,"Earring, tattoo on neck",ATM card skimming operations,convicted,,,,demo,,,,738847ff-a086-4b42-a272-b89e0a0d3f3e,2026-08-29 12:45:07,2026-08-29 12:45:07
Yogesh Shetty,Yogesh,1991-07-06,Male,,"Athletic, tattoo arm",Smuggled electronics import,under_trial,,,,demo,,,,750ba888-4440-4c9a-b1b2-9caafbd5b106,2026-08-29 12:45:07,2026-08-29 12:45:07
Satish Mudiraj,Satish,1983-12-08,Male,,"Dark complexion, muscular",Illegal quarry operations,at_large,,,,demo,,,,7b633f2f-e215-46d6-8552-25eb067bc8e3,2026-08-29 12:45:07,2026-08-29 12:45:07
Lokesh Biradar,Lokesh,1990-08-17,Male,,"Scar on lip, stocky",Illegal liquor distribution,on_bail,,,,demo,,,,7ce121c6-0b93-4393-b78e-e04c743c151b,2026-08-29 12:45:07,2026-08-29 12:45:07
