fir_number,crime_case_id,investigating_officer_id,complainant_name,complainant_contact,sections,filed_at,status,narrative,attachments,dataset_provenance,source_import_job_id,source_file,source_row_ref,id,created_at,updated_at
FIR-224/DET/2026,741e2f67-5d4b-4ca3-941d-c8ca0b50df9e,8e38105b-15a3-48cb-8fe4-88a34542ccfa,Suma B,+91 98800 00014,"NDPS 21, 22",2025-01-19 02:10:00,registered,Backend-seeded FIR for CR-2026-DET-125; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-DET-125.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-DET-125.pdf"", ""size"": 284100}]",demo,,,,012b8e13-8dfc-419e-895a-d1fb9f02a13f,2026-08-29 12:45:07,2026-08-29 12:45:07
FIR-311/DET/2026,5036ba37-3381-4b0e-a436-e83965cf6242,6d399214-9acb-4a0b-98c8-ae0b2a17b775,Dr. Vinay Murthy,+91 98800 00002,"DV Act, IPC 498A",2025-10-07 23:05:00,registered,Backend-seeded FIR for CR-2026-DET-212; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-DET-212.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-DET-212.pdf"", ""size"": 284100}]",demo,,,,01833c1d-c1e1-499c-bc8a-8409d9718043,2026-08-29 12:45:08,2026-08-29 12:45:08
FIR-601/BRL/2026,d6107abd-e01e-4b47-9fd3-63f2afadb3ff,f4d572c8-e03b-4fe6-ac9e-c227c2dd9d4c,Vijaya Kumari,+91 98800 00031,IPC 379,2026-08-12 23:40:00,registered,Backend-seeded FIR for CR-2026-BRL-001; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-BRL-001.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-BRL-001.pdf"", ""size"": 284100}]",demo,,,,01af1bca-a38c-47d3-9ccb-c99618b164a2,2026-08-29 12:45:07,2026-08-29 12:45:07
FIR-248/DET/2026,11b2fd3f-02c4-4877-8297-aeecf94990af,314c456a-4c37-43b1-99a0-4b6239463b6f,Irfan Ahmed,+91 98800 00024,"NDPS 21, 22",2025-04-02 04:20:00,closed,Backend-seeded FIR for CR-2026-DET-149; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-DET-149.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-DET-149.pdf"", ""size"": 284100}]",demo,,,,020e7bb2-1edd-42e1-8021-b75b3fe7cb5d,2026-08-29 12:45:08,2026-08-29 12:45:08
FIR-209/DET/2026,85edf476-0108-48c7-bcb4-88c7d0304f4b,cf8c9086-2c1f-460b-86ae-70194c545cf9,Sunita Devi,+91 98800 00006,MMDR Act 21,2024-12-05 03:00:00,closed,Backend-seeded FIR for CR-2026-DET-110; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-DET-110.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-DET-110.pdf"", ""size"": 284100}]",demo,,,,02c0f526-a3c1-4c7c-869f-e09847a1bb97,2026-08-29 12:45:07,2026-08-29 12:45:07
FIR-297/DET/2026,0f3c325e-9ef4-4d82-afe4-16918e066317,5121147d-f1ba-4bf4-9391-f5b7bb9124fb,Rajesh Kharvi,+91 98800 00041,"IPC 420, IT Act 66D",2025-08-26 16:45:00,registered,Backend-seeded FIR for CR-2026-DET-198; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-DET-198.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-DET-198.pdf"", ""size"": 284100}]",demo,,,,0316f05c-12d7-420c-a531-33c55ef8a56a,2026-08-29 12:45:08,2026-08-29 12:45:08
FIR-126/DET/2026,61dc397d-9b57-406c-9940-825a6d943315,e44eac9d-cdbe-4431-b175-c6dd48feca28,Fathima Begum,+91 98800 00008,Excise Act 32,2024-04-02 00:20:00,registered,Backend-seeded FIR for CR-2026-DET-027; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-DET-027.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-DET-027.pdf"", ""size"": 284100}]",demo,,,,049f8368-f026-454e-908d-178566c01883,2026-08-29 12:45:07,2026-08-29 12:45:07
FIR-269/DET/2026,e6cf52f1-d95e-42b5-accb-594646a1cf50,a42d03ad-0de6-4b92-96ef-5ab3f60aff1e,State Complainant,,MMDR Act 21,2025-06-02 02:55:00,closed,Backend-seeded FIR for CR-2026-DET-170; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-DET-170.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-DET-170.pdf"", ""size"": 284100}]",demo,,,,04b54b35-fcce-4fb8-b8c6-1e6703d1fe01,2026-08-29 12:45:08,2026-08-29 12:45:08
FIR-214/DET/2026,5b544337-8c42-491f-969e-14bcb77a23f4,643e99ee-2480-49cb-b1b0-23ff69b53493,Mahantesh Patil,+91 98800 00027,MMDR Act 21,2024-12-21 04:55:00,closed,Backend-seeded FIR for CR-2026-DET-115; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-DET-115.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-DET-115.pdf"", ""size"": 284100}]",demo,,,,076116f2-15eb-4fe3-b2d6-2b1cc121d164,2026-08-29 12:45:07,2026-08-29 12:45:07
FIR-282/DET/2026,cb1f620f-34a4-41d4-a758-363ea5aca88d,ca5236a4-32f9-4a78-8e38-29bb36d03874,Eshwarappa,+91 98800 00020,MMDR Act 21,2025-07-09 07:35:00,closed,Backend-seeded FIR for CR-2026-DET-183; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-DET-183.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-DET-183.pdf"", ""size"": 284100}]",demo,,,,0801caa4-529c-41f3-8349-71e766678e27,2026-08-29 12:45:08,2026-08-29 12:45:08
FIR-202/DET/2026,15c96b81-475b-449b-8436-a108d8fe4f18,219a87ba-850b-48e5-8a33-2151a3337db0,Irfan Ahmed,+91 98800 00024,"IPC 323, 324",2024-11-11 14:30:00,closed,Backend-seeded FIR for CR-2026-DET-103; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-DET-103.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-DET-103.pdf"", ""size"": 284100}]",demo,,,,087ddb9f-14b9-4280-a045-caa56f4d16b9,2026-08-29 12:45:07,2026-08-29 12:45:07
FIR-317/DET/2026,9b077177-574d-4bc5-b048-19251435274f,b9af6e21-ff39-4174-bce7-d4fcdcfc9a9d,State Complainant,,"DV Act, IPC 498A",2025-10-24 02:55:00,closed,Backend-seeded FIR for CR-2026-DET-218; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-DET-218.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-DET-218.pdf"", ""size"": 284100}]",demo,,,,08ca83b1-e2f8-4c54-b2ed-14198376fdfb,2026-08-29 12:45:08,2026-08-29 12:45:08
FIR-173/DET/2026,f03647a9-db61-4d05-ab67-9fb2768fa09d,19ac4d07-7b48-4c0f-b27c-c36fdb9bf801,Arun Kumar,+91 98800 00038,"IPC 447, 506",2024-08-20 10:35:00,registered,Backend-seeded FIR for CR-2026-DET-074; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-DET-074.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-DET-074.pdf"", ""size"": 284100}]",demo,,,,0950a1d1-981e-4d56-b9a2-32b73afcefb8,2026-08-29 12:45:07,2026-08-29 12:45:07
FIR-339/DET/2026,f29e3bf3-3736-4481-9212-3a17322545c0,f36f5a0e-c026-4c91-9ec4-02b25920283e,Arun Kumar,+91 98800 00038,Excise Act 32,2025-12-31 22:00:00,closed,Backend-seeded FIR for CR-2026-DET-240; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-DET-240.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-DET-240.pdf"", ""size"": 284100}]",demo,,,,0c115542-a2ea-4326-903f-61db5d1f6ae3,2026-08-29 12:45:08,2026-08-29 12:45:08
FIR-264/DET/2026,89d60a18-d531-4bc7-9fc6-1604cb50e586,19ac4d07-7b48-4c0f-b27c-c36fdb9bf801,Rajendra Prasad,+91 98800 00009,"NDPS 21, 22",2025-05-18 08:40:00,closed,Backend-seeded FIR for CR-2026-DET-165; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-DET-165.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-DET-165.pdf"", ""size"": 284100}]",demo,,,,0cda7e28-d97b-49ea-8a4c-1a29bf19cb0b,2026-08-29 12:45:08,2026-08-29 12:45:08
FIR-263/DET/2026,67353674-7691-4520-8f59-eac0a4da8e88,6d399214-9acb-4a0b-98c8-ae0b2a17b775,Ismail Nadaf,+91 98800 00029,"NDPS 21, 22",2025-05-18 00:25:00,closed,Backend-seeded FIR for CR-2026-DET-164; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-DET-164.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-DET-164.pdf"", ""size"": 284100}]",demo,,,,0d4c51ea-99f5-4921-b240-9ac3b770be63,2026-08-29 12:45:08,2026-08-29 12:45:08
FIR-351/DET/2026,d4f49f4d-d42a-4772-a24a-1970dfa67542,5bbc94f3-51a0-47de-802a-dd4b4ccedab1,Ismail Nadaf,+91 98800 00029,"IPC 379, 457",2026-02-04 07:25:00,registered,Backend-seeded FIR for CR-2026-DET-252; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-DET-252.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-DET-252.pdf"", ""size"": 284100}]",demo,,,,0d57e160-1359-4b86-b562-8faac06b05a4,2026-08-29 12:45:08,2026-08-29 12:45:08
FIR-193/DET/2026,88a3aa18-c4e3-4421-b40c-6cada51abdd5,b19d0b00-458c-4d08-b530-342a4d4f368b,State Complainant,,"NDPS 21, 22",2024-10-20 00:05:00,registered,Backend-seeded FIR for CR-2026-DET-094; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-DET-094.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-DET-094.pdf"", ""size"": 284100}]",demo,,,,0eb62bf3-a5d0-4cee-922a-7dfc40da995a,2026-08-29 12:45:07,2026-08-29 12:45:07
FIR-300/DET/2026,638924aa-c05b-4003-8a0d-44a968e1f23a,83c263dd-8664-438d-8f3e-f73f66c623f9,Nagaraj Shetty,+91 98800 00011,"IPC 379, 457",2025-09-03 02:00:00,closed,Backend-seeded FIR for CR-2026-DET-201; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-DET-201.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-DET-201.pdf"", ""size"": 284100}]",demo,,,,0fc15b04-14ac-4345-a8c7-611c4531358c,2026-08-29 12:45:08,2026-08-29 12:45:08
