supabase_user_id,user_id,badge_number,name,rank,station,district,designation,phone,email,status,image_url,dataset_provenance,source_import_job_id,source_file,source_row_ref,id,created_at,updated_at
,,IO-4489,Inspector Suresh Babu,Inspector,Jayanagar Police Station,Bengaluru Urban,SHO,+91 94480 12013,suresh.b@ksp.gov.in,active,,demo,,,,1023a195-c04a-4f7a-8535-c1fff5df2c27,2026-08-29 12:45:07,2026-08-29 12:45:07
,,SI-6590,Sub-Inspector Yogesh Shetty,Sub-Inspector,Shimoga Town Police Station,Shimoga,Investigating Officer,+91 94480 12024,yogesh.s@ksp.gov.in,active,,demo,,,,19ac4d07-7b48-4c0f-b27c-c36fdb9bf801,2026-08-29 12:45:07,2026-08-29 12:45:07
,,IO-8855,Inspector Shanthappa K,Inspector,Hospet Town Police Station,Vijayanagara,SHO,+91 94480 12035,shanthappa.k@ksp.gov.in,active,,demo,,,,219a87ba-850b-48e5-8a33-2151a3337db0,2026-08-29 12:45:07,2026-08-29 12:45:07
,,SI-1156,Sub-Inspector Venkatesh Kulkarni,Sub-Inspector,Yadagir Town Police Station,Yadagir,Investigating Officer,+91 94480 12010,venkatesh.k@ksp.gov.in,active,,demo,,,,27fea9ae-f398-4c45-a286-94af0bd08807,2026-08-29 12:45:07,2026-08-29 12:45:07
,,IO-9945,Inspector Farooq Nadaf,Inspector,Bidar Town Police Station,Bidar,SHO,+91 94480 12009,farooq.n@ksp.gov.in,active,,demo,,,,2fd383db-cd0b-4cca-9161-74533c0a3647,2026-08-29 12:45:07,2026-08-29 12:45:07
,,SI-7712,Sub-Inspector Anitha Kulkarni,Sub-Inspector,Kolar Town Police Station,Kolar,Investigating Officer,+91 94480 12016,anitha.k@ksp.gov.in,active,,demo,,,,314c456a-4c37-43b1-99a0-4b6239463b6f,2026-08-29 12:45:07,2026-08-29 12:45:07
,,IO-1247,Inspector Virupakshi Hallur,Inspector,Khade Bazar Station,Belagavi,SHO,+91 94480 12001,virupakshi.h@ksp.gov.in,active,,demo,,,,31d37711-b1aa-44be-b8fd-c1a4355577d9,2026-08-29 12:45:07,2026-08-29 12:45:07
,,IO-6601,Inspector Ganesh Haldipur,Inspector,Town Police Station,Tumkuru,SHO,+91 94480 12015,ganesh.h@ksp.gov.in,active,,demo,,,,32ef8189-db8a-47c3-b687-3bf34a097b2b,2026-08-29 12:45:07,2026-08-29 12:45:07
,,IO-9102,Inspector Siddharamaiah Pujari,Inspector,City Police Station,Ballari,SHO,+91 94480 12033,siddharamaiah.p@ksp.gov.in,active,,demo,,,,35ec4bb7-90e0-43a2-9e8a-289e1339f1a0,2026-08-29 12:45:07,2026-08-29 12:45:07
,,SI-4421,Sub-Inspector Mallikarjun Swamy,Sub-Inspector,Raichur Town Police Station,Raichur,Investigating Officer,+91 94480 12034,mallikarjun.s@ksp.gov.in,active,,demo,,,,4c15aede-a2ad-4322-bb3e-1264d9593b53,2026-08-29 12:45:07,2026-08-29 12:45:07
